WHSE,DSP_LOCN,LOCN_PICK_SEQ,SKU_BRCD
1211,00 R26,,89011610
1211,00 R27,,89011608
1211,00 R28,,89020486
1211,TBDR15,,56300404
1211,TBDR29,,56300412
1211,TBDR31,,56300451
1211,TBDR33,,56300410
1211,TBDR34,,56300411
1211,TBDR21,,56010668
1211,TBDR20,,56300457
1211,TBDR16,,56300414
1211,TBDR28,,56300408
1211,TBDR32,,56300443
1211,TBDR30,,56300407
1211,TBDR19,,56150633
1211,TBDR18,,56150632
1211,TBDR13,,56300409
1211,TBDR36,,56010670
1211,TBDR5,,69250661
1211,TBDR3,,69250563
1211,TBDR4,,69250564
1211,TBDR9,,69250210
1211,TBDR8,,69250365
1211,00 L34,,82020078
1211,00 L40,,82020120
1211,00 L19,,82020112
1211,00 L20,,82020110
1211,00 L49,,82020006
1211,00 L41,,82020113
1211,00 L26,,82020083
1211,00 L48,,82020005
1211,00 L6,,82020369
1211,TBDR7,,69250588
1211,TBDR18,,69250016
1211,TBDR11,,69250012
1211,00 R9,,1056315
1211,TBDR6,,69250720
1211,DLR69,,82040870
1211,00 B11,,75700572
1211,00 F11,,75700572
1211,00 TBD12,,9150617
1211,DLL19,,82041289
1211,PRF23,,84830546
1211,00 L8,,10010238
1211,TBDR56,,58400022
1211,00 R1,,76010020
1211,00 L23,,15100298
1211,00 L22,,15100297
1211,nullR20,,88660451
1211,00 L7,,88660451
1211,TBDB17,,1010502
1211,TBDB19,,1010502
1211,TBDB22,,1010502
1211,TBDB16,,1010502
1211,TBDL18,,1010502
1211,TBDB19,,1010502
1211,TBDB16,,1010502
1211,TBDB18,,1010502
1211,00 R33,,49010601
1211,00 R35,,49010238
1211,TBDF7,,49010107
1211,TBDF7,,49010107
1211,TBDF7,,49010107
1211,00 R31,,49010553
1211,TBDF6,,49010107
1211,00 R32,,49010552
1211,TBDF8,,49010107
1211,TBDF10,,49010107
1211,TBDF7,,49010107
1211,00 R46,,49011602
1211,00 R37,,49011601
1211,00 R34,,49010020
1211,TBDF8,,49010502
1211,TBDF8,,49010502
1211,TBDF8,,49010502
1211,TBDF8,,49010502
1211,TBDF9,,49010502
1211,TBDF6,,49010019
1211,TBDF6,,49010019
1211,TBDF6,,49010019
1211,TBDF5,,49010019
1211,TBDF9,,49010019
1211,TBDF7,,49010019
1211,TBDF6,,49010019
1211,00 R45,,49011228
1211,TBDB29,,1013373
1211,TBDB17,,1013373
1211,TBDL21,,1013373
1211,TBDB19,,1013373
1211,TBDB18,,1013373
1211,TBDB20,,1013373
1211,TBDB20,,1013373
1211,TBDR13,,69250580
1211,TBDR12,,69250581
1211,TBDR14,,69250726
1211,TBDR35,,89074222
1211,TBDL11,,89053469
1211,PRR3,,84661388
1211,TBDR29,,89074246
1211,TBDTBD4,,62650091
1211,nullL10,,88100020
1211,00 L8,,73500047
1211,DLL2,,82030479
1211,DLL1,,82030479
1211,00 R36,,4050028
1211,00 L10,,8010117
1211,00 L18,,8050567
1211,00 L3,,8050615
1211,00 L17,,8010514
1211,00 L19,,8050150
1211,00 L2,,8050524
1211,TBDR2,,8050175
1211,00 L20,,8050149
1211,00 L8,,8050808
1211,00 L7,,8051328
1211,00 L11,,8011905
1211,00 L4,,8050379
1211,TBDR1,,8050683
1211,00 L8,,8050508
1211,00 L21,,8050566
1211,00 L3,,8050616
1211,00 L12,,8050511
1211,DLL8,,82110210
1211,nullL13,,88100273
1211,PRF87,,84833004
1211,PRR43,,84850335
1211,BKTBD37,,95150367
1211,TBDL7,,89058852
1211,nullTBD1,,86920036
